,name,artist,album_name,album_image_url,album_release_date,duration_ms,explicit,popularity,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_followers,artist_genres,artist_popularity,track_id
10,Lonesome Town - 1990 Digital Remaster,Ricky Nelson,The Legendary Masters Series (Volume 1),https://i.scdn.co/image/ab67616d0000b2735322e1648cc3506403c6cfa1,1990-01-01,135840,False,50,https://p.scdn.co/mp3-preview/4440aa66388c8048a365608fe624a30ff5b735ef?cid=d3c4d26f750f45daa2434a1585745291,0.508,0.0965,11,-18.283,1,0.031,0.856,0.012,0.102,0.296,77.907,4,317772,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']",60,56XoFI6v7kbGNdM8ALYWof
11,Sea Of Love,Phil Phillips,Golden Hits forever V5,https://i.scdn.co/image/ab67616d0000b273083d9e16b7fe52cc3661e76d,2009-02-15,144600,False,0,,0.289,0.353,7,-12.302,1,0.0292,0.862,1.35e-06,0.172,0.312,85.436,4,2918,"['doo-wop', 'swamp pop']",38,14T8UhqU8EaJpp3tRxqJbr
12,Manhattan,Dinah Washington,What A Diff'rence A Day Makes! (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273a78eaacc0d1eca994d3ffd38,1959-02-19,259026,False,39,https://p.scdn.co/mp3-preview/e51f706e1422815542f8fe5d02313782eec49b3e?cid=d3c4d26f750f45daa2434a1585745291,0.315,0.24,10,-14.814,1,0.0376,0.797,3.88e-05,0.111,0.387,136.92,4,365315,"['adult standards', 'jazz blues', 'lounge', 'soul', 'swing', 'vocal jazz']",60,28HXaQiH5DF10ey7yh9Gdu
13,I Fall In Love Too Easily,Chet Baker,Chet Baker Sings,https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0,1956,201440,False,63,https://p.scdn.co/mp3-preview/9b0824330e42d526d9bffc39e1bfe788d2b8a71f?cid=d3c4d26f750f45daa2434a1585745291,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,4,764367,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'lounge', 'vocal jazz']",64,0F845nujLVqCb0XMZCh5Pc
14,Black Coffee,Sarah Vaughan,After Hours,https://i.scdn.co/image/ab67616d0000b2737bc42f3bfb5b7cfe28fbee25,1955-04-12,200440,False,53,https://p.scdn.co/mp3-preview/be920a59857d796cb19d76f475c5533042897a74?cid=d3c4d26f750f45daa2434a1585745291,0.38,0.155,1,-11.977,1,0.0311,0.973,1.7e-05,0.0977,0.127,94.23,3,511116,"['adult standards', 'cool jazz', 'jazz', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']",57,56IQUfsUskt9VHe6YM6kue
15,Come Softly To Me,The Fleetwoods,Come Softly To Me: The Very Best Of The Fleetwoods,https://i.scdn.co/image/ab67616d0000b27337558b80ccddb88af1817ccd,1993-01-01,144933,False,55,https://p.scdn.co/mp3-preview/8526001b3ee3d8dbc0b72f59be751cfa7f3f0b03?cid=d3c4d26f750f45daa2434a1585745291,0.601,0.095,1,-18.478,1,0.0374,0.93,0.000285,0.116,0.672,122.975,4,52448,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'vocal harmony group']",48,603N4XGJUTbK760GLCvIIs
16,A Teenager In Love,Dion & The Belmonts,Presenting Dion And The Belmonts,https://i.scdn.co/image/ab67616d0000b2737a609132064a415169a915cc,1959-01-01,158253,False,61,https://p.scdn.co/mp3-preview/1c65f01d5ce88944a249b4b4338af9f1a51a4c16?cid=d3c4d26f750f45daa2434a1585745291,0.555,0.377,1,-9.123,1,0.0295,0.671,0.0,0.128,0.619,78.986,4,158215,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",51,0QGwOFQChzflLAmPq5NwKo
17,Autumn in New York - 2003 Remastered Version,Billie Holiday,Blue Moon,https://i.scdn.co/image/ab67616d0000b273584795d8bc7f3b5677d697b9,1952-03-26,221413,False,45,https://p.scdn.co/mp3-preview/a113d0a41ae943e68f9adabb8aa01b31ade54d57?cid=d3c4d26f750f45daa2434a1585745291,0.544,0.132,7,-11.735,0,0.0477,0.963,8.59e-05,0.101,0.286,71.178,4,1495817,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",66,5y3gqKswDeU8pJ878YFPUy
18,Born Too Late,The Poni-Tails,True 50's love,https://i.scdn.co/image/ab67616d0000b2736508e98cb07c599988ee5fa1,2008-01-01,136826,False,0,,0.501,0.311,4,-9.62,1,0.0251,0.672,0.000125,0.174,0.818,85.322,4,6219,"['classic girl group', 'deep adult standards', 'doo-wop', 'vocal harmony group']",39,7j2OoTiQHGLRLSfqISKKY6
19,My Funny Valentine,Chet Baker,Chet Baker Sings,https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0,1956,141133,False,61,https://p.scdn.co/mp3-preview/1948f54888f407e2fc162c69b7a18ec10a372049?cid=d3c4d26f750f45daa2434a1585745291,0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,4,764367,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'lounge', 'vocal jazz']",64,4l9hml2UCnxoNI3yCdL1BW
20,Who's Sorry Now,Connie Francis,Gold,https://i.scdn.co/image/ab67616d0000b273c9a04e077308f223269e240f,2005-06-14,136626,False,57,https://p.scdn.co/mp3-preview/bd74db2f3688316f8d09ada56fe1a930e689bb87?cid=d3c4d26f750f45daa2434a1585745291,0.522,0.326,3,-6.448,1,0.0273,0.755,2.26e-05,0.36,0.443,87.535,4,293241,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']",57,4bzvhZFlV9UqQ3EmV2i8s4
21,Pennies From Heaven,Louis Prima,The Call Of The Wildest (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273a06458b080f396941f2a2af9,1957,141666,False,54,https://p.scdn.co/mp3-preview/924c513f75a73eb3cc51c6c99bfa959a8a4707c0?cid=d3c4d26f750f45daa2434a1585745291,0.515,0.408,8,-11.96,1,0.194,0.452,0.0,0.0682,0.915,185.767,4,146800,"['adult standards', 'jump blues', 'lounge', 'soul', 'swing', 'vocal jazz']",62,4tmy6FB76bR5eLmx0zO1mn
22,"It's Not for Me to Say - From the MGM Film ""Lizzie""",Johnny Mathis,The Essential Johnny Mathis 3.0,https://i.scdn.co/image/ab67616d0000b273eb4d41687d9ef76b854b727b,1956,183226,False,45,https://p.scdn.co/mp3-preview/e6c5418ec321d6556442212726ebad96386e3f6e?cid=d3c4d26f750f45daa2434a1585745291,0.328,0.218,8,-12.843,1,0.0383,0.94,0.000169,0.1,0.446,80.584,4,293729,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']",56,4g9ZMsnY0xpeG3OR8GRJne
23,Isn't This A Lovely Day?,Ella Fitzgerald,Ella & Louis (Classics International Version),https://i.scdn.co/image/ab67616d0000b273c4388ad193a1b9a77e36dcf5,1956,374266,False,0,,0.458,0.0733,0,-16.731,1,0.0548,0.788,0.0,0.0857,0.175,81.847,4,2041525,"['adult standards', 'jazz blues', 'swing', 'vocal jazz']",69,3dm6E1Dl2EdEB4GO1PMBR4
24,Love Is Strange,Mickey & Sylvia,Love Is Strange - The Best Of,https://i.scdn.co/image/ab67616d0000b273c98991a88864191887c7abd4,2010-05-03,174653,False,0,,0.629,0.692,0,-6.466,1,0.0295,0.658,0.000463,0.0543,0.842,121.808,4,9777,['rhythm and blues'],45,3FL0L1AhHjFfhxQPGWjKkn
25,Blue Moon,Billie Holiday,Solitude,https://i.scdn.co/image/ab67616d0000b27334708df3636189370a12e6c1,1956-01-01,207826,False,63,https://p.scdn.co/mp3-preview/6c98628a3858c34dee3dd3c619e183012c81ffd6?cid=d3c4d26f750f45daa2434a1585745291,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,4,1495817,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",66,1pZn8AX1WulW8IO338hE5D
26,There Goes My Baby - Single Version; 2019 Remaster,The Drifters,Definitive Soul: The Drifters,https://i.scdn.co/image/ab67616d0000b273708f31e141b7331b5483a392,2007-04-02,130320,False,41,https://p.scdn.co/mp3-preview/4c2f7ee3697966888e5915f0a4c86a21e4e6f3a4?cid=d3c4d26f750f45daa2434a1585745291,0.399,0.679,6,-3.403,0,0.0329,0.518,0.0,0.625,0.614,63.993,4,372711,"['adult standards', 'brill building pop', 'bubblegum pop', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",61,5Aqnf8w3OZG0RQIW90QGaP
27,Everyday,Buddy Holly,Buddy Holly,https://i.scdn.co/image/ab67616d0000b27358816b5b546bdc2c0e7f6416,1958,129120,False,63,https://p.scdn.co/mp3-preview/5c80968191712861ffc024efad0550961f3c1e98?cid=d3c4d26f750f45daa2434a1585745291,0.747,0.219,3,-12.562,1,0.0371,0.584,2.57e-05,0.107,0.498,135.562,4,929075,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'rock-and-roll', 'rockabilly']",60,39lnzOIUCSNaQmgBHoz7rt
28,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,Day By Night (with Paul Weston & His Music From Hollywood),https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24,1957-11-11,223373,False,58,https://p.scdn.co/mp3-preview/872a614d0f634ce824fbdf8ca0533ac61f110352?cid=d3c4d26f750f45daa2434a1585745291,0.386,0.125,0,-17.695,1,0.0394,0.921,6.42e-06,0.0919,0.254,147.721,4,321956,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'swing', 'vocal jazz']",60,2HyPrPSANTIPkR6CfiytwY
29,Maybe,The Chantels,The Best Of The Chantels,https://i.scdn.co/image/ab67616d0000b273ff1c8ed78b0337fbe5bf32db,2006-01-24,174133,False,44,https://p.scdn.co/mp3-preview/1b994a6812e15e75043b2b01ff51baea511065ef?cid=d3c4d26f750f45daa2434a1585745291,0.489,0.415,10,-7.466,1,0.0268,0.751,0.000653,0.14,0.357,104.207,4,47748,"['brill building pop', 'classic girl group', 'classic soul', 'doo-wop', 'motown', 'rhythm and blues', 'souldies']",39,2xMAFTxwZ0w1twuyMZcYb7
30,April In Paris,Billie Holiday,All Or Nothing At All,https://i.scdn.co/image/ab67616d0000b2738ce5e77f95cca9b114e4bedb,1958-01-01,185586,False,59,https://p.scdn.co/mp3-preview/4a954ccfbeb8f3424004fcf969372a931435cc12?cid=d3c4d26f750f45daa2434a1585745291,0.496,0.127,0,-14.211,1,0.0382,0.927,7.07e-05,0.132,0.211,74.746,4,1495817,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",66,34zhjduFdQFhkRUJ230h9T
31,Misty,Johnny Mathis,Heavenly,https://i.scdn.co/image/ab67616d0000b27372ddee406b1d5f70de813c64,1959-08-10,216573,False,55,https://p.scdn.co/mp3-preview/df6482e8708811b5ff2bd501aac8d0a2da034d85?cid=d3c4d26f750f45daa2434a1585745291,0.216,0.267,8,-13.561,1,0.0351,0.876,2.7e-05,0.109,0.218,82.098,4,293729,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']",56,4uxsv9PjV3Yeyn51RdWvGJ
32,Venus - Bonus Track,Frankie Avalon,Swingin' On A Rainbow / The Young Frankie Avalon & Bonus Tracks,https://i.scdn.co/image/ab67616d0000b27366255fd6fdbee4d83625991b,2013-05-28,141986,False,37,https://p.scdn.co/mp3-preview/f186c6f1c5f745d258eb206edeec6f46fe231cb2?cid=d3c4d26f750f45daa2434a1585745291,0.526,0.488,10,-12.645,1,0.0296,0.601,1.31e-05,0.094,0.718,115.194,4,111550,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",45,0qDShcc7oY6M8OFaDXHOZG
33,Blue Skies,Ella Fitzgerald,PAN AM: Music From and Inspired By The Original Series (From the Pan Am Soundtrack),https://i.scdn.co/image/ab67616d0000b273dda05c8f3c6ffa2d5746aa8b,2011-01-01,226213,False,0,,0.464,0.391,0,-5.115,1,0.0483,0.892,0.0,0.0521,0.649,158.894,4,2041525,"['adult standards', 'jazz blues', 'swing', 'vocal jazz']",69,2xNDO4i0qxmkxYptUbxYpx
34,My Prayer,The Platters,The Platters,https://i.scdn.co/image/ab67616d0000b2735e3b143a43c2a65158a59a94,1956-09-10,167800,False,53,https://p.scdn.co/mp3-preview/caf84b24e0ce91a1323273887c4d267cbebd01de?cid=d3c4d26f750f45daa2434a1585745291,0.359,0.272,10,-8.393,1,0.0294,0.812,0.0,0.095,0.254,109.249,3,536560,"['adult standards', 'brill building pop', 'doo-wop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'vocal jazz']",61,1ntGJDSakqsaw1KhptKrB5
35,Broken Hearted Melody,Sarah Vaughan,True 50's love,https://i.scdn.co/image/ab67616d0000b2736508e98cb07c599988ee5fa1,2008-01-01,143266,False,0,,0.448,0.5,7,-11.304,1,0.0356,0.744,0.0,0.191,0.768,132.443,4,511116,"['adult standards', 'cool jazz', 'jazz', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']",57,40KCF1U2DNceYsugxZQruU
36,You Belong To Me,Jo Stafford,The Magic Of Jo Stafford,https://i.scdn.co/image/ab67616d0000b27383a741a1b41f8bfb396c3d0c,2001-01-01,192560,False,53,https://p.scdn.co/mp3-preview/ffc74f968377ccb1fdf92c806f4f67c9d11c293d?cid=d3c4d26f750f45daa2434a1585745291,0.371,0.145,5,-14.587,1,0.0315,0.945,0.0,0.112,0.167,68.722,4,59453,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']",49,3xZe0jFAwc3akvChOrPS7u
37,Crazy He Calls Me,Billie Holiday,Lover Man,https://i.scdn.co/image/ab67616d0000b2733d6c3d9f588a257c4a563050,1958-01-01,185280,False,55,https://p.scdn.co/mp3-preview/7d5793d39d82bb244a258e374ef9b7569504d57f?cid=d3c4d26f750f45daa2434a1585745291,0.483,0.145,1,-14.423,1,0.039,0.849,3.5e-06,0.214,0.284,72.863,4,1495817,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",66,4mQz22nF9cyWqwuErTqc6V
38,You Send Me,Sam Cooke,Sam Cooke,https://i.scdn.co/image/ab67616d0000b273639fed5a94af871f66c3df4a,1993,163560,False,0,,0.538,0.226,4,-13.817,0,0.0288,0.945,0.0,0.125,0.553,96.951,4,1253185,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']",69,7fPOOCejoBt3dIm6UcEdm8
39,We Belong Together,Ritchie Valens,Ritchie Valens,https://i.scdn.co/image/ab67616d0000b2737723fdc89d8e25e65aa6730d,1959,116626,False,67,https://p.scdn.co/mp3-preview/e889ad8f94613a8fbd748a107a0535918bf0b61c?cid=d3c4d26f750f45daa2434a1585745291,0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522,3,397077,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']",60,7caj6X6NMX3tlhWnu1du6V
40,A Teenager's Romance,Ricky Nelson,Legacy,https://i.scdn.co/image/ab67616d0000b273e8e386154ad8315823340cdd,2000-01-01,140773,False,57,https://p.scdn.co/mp3-preview/ad8d8fe24cf5655c451f1975c83e961049759a62?cid=d3c4d26f750f45daa2434a1585745291,0.51,0.484,10,-6.942,1,0.038,0.784,0.0,0.306,0.683,103.356,3,317772,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']",60,1Qn5jElT7XqjvVeJ8pYM2w
41,I Wonder Why,Dion & The Belmonts,Presenting Dion And The Belmonts,https://i.scdn.co/image/ab67616d0000b2737a609132064a415169a915cc,1959-01-01,141386,False,52,https://p.scdn.co/mp3-preview/99d2a8f6f6e651e79de17f98b1a5b1920065eeb9?cid=d3c4d26f750f45daa2434a1585745291,0.506,0.699,10,-3.834,1,0.0348,0.569,0.0,0.158,0.901,103.463,4,158215,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",51,7vAw4LLIms6X8ZHcbtoazz
42,The Nearness Of You,Ella Fitzgerald,Ella & Louis (Classics International Version),https://i.scdn.co/image/ab67616d0000b273c4388ad193a1b9a77e36dcf5,1956,340133,False,0,,0.4,0.119,6,-18.146,1,0.0645,0.834,0.0,0.109,0.223,81.32,4,2041525,"['adult standards', 'jazz blues', 'swing', 'vocal jazz']",69,1O8jVjF78N1gXmU7CGoryX
43,Twilight Time,The Platters,The Best Of The Platters,https://i.scdn.co/image/ab67616d0000b2738f596fd18c96d6f32513d854,1995-01-01,164400,False,0,,0.408,0.366,9,-10.434,1,0.0296,0.869,0.0,0.267,0.294,77.711,4,536560,"['adult standards', 'brill building pop', 'doo-wop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'vocal jazz']",61,1tu5rCtK0jCLMeoWCYnttf
44,Teach Me Tonight,Dinah Washington,"The Complete Dinah Washington On Mercury, Vol.4 (1954-1956)",https://i.scdn.co/image/ab67616d0000b2732a9bdb7fe25cb06bb3c47695,1988-01-01,167493,False,58,https://p.scdn.co/mp3-preview/6c4db49bdc30b6cba6e7d383e179065b7af2c08c?cid=d3c4d26f750f45daa2434a1585745291,0.558,0.231,5,-11.436,0,0.0812,0.805,0.0,0.142,0.403,73.103,4,365315,"['adult standards', 'jazz blues', 'lounge', 'soul', 'swing', 'vocal jazz']",60,0Rk9byjmZksAJX15onGns5
45,All I Have to Do Is Dream,The Everly Brothers,Fabulous Fifties Nostalgia Vol 5,https://i.scdn.co/image/ab67616d0000b273b119594fb0b6ef3aeb72bb0f,2011-12-05,141240,False,0,,0.542,0.347,4,-14.011,1,0.0268,0.783,0.0,0.144,0.596,103.709,4,588955,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",62,72nqbbrKjhXmDdRXQGq115
46,Beyond the Sea,Bobby Darin,That's All,https://i.scdn.co/image/ab67616d0000b273e774643594281699bde1e4ed,1959,172480,False,67,https://p.scdn.co/mp3-preview/265a0fffe03b363973ddf23f0c8f4e55a3d0b45a?cid=d3c4d26f750f45daa2434a1585745291,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,4,391488,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']",62,3KzgdYUlqV6TOG7JCmx2Wg
47,Strange Fruit,Billie Holiday,Billie Holiday,https://i.scdn.co/image/ab67616d0000b273f8743d2c7812763f7f66e83b,1957-01-01,192866,False,57,https://p.scdn.co/mp3-preview/ce25c37d43603f40bee11568d519a359868cc25d?cid=d3c4d26f750f45daa2434a1585745291,0.313,0.0437,6,-22.627,1,0.0315,0.989,0.148,0.209,0.0625,100.827,1,1495817,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",66,1CTex49P0iWwzUGsMNjgaV
48,True Love Ways,Buddy Holly,Gold,https://i.scdn.co/image/ab67616d0000b2735a1953d27f0a93cbf3373de8,2005-10-11,168706,False,0,,0.221,0.124,10,-19.545,1,0.0346,0.8,0.103,0.316,0.276,82.727,4,929075,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'rock-and-roll', 'rockabilly']",60,7ljPNANyoIDc7sL0PWaJlu
49,Walkin' After Midnight,Patsy Cline,Golden Hits Collection,https://i.scdn.co/image/ab67616d0000b273e483bf2c3621dab428e4d6f5,2006,154026,False,48,https://p.scdn.co/mp3-preview/6448842918cb7b6d2f19ee3f66b35108dcac11cc?cid=d3c4d26f750f45daa2434a1585745291,0.562,0.194,0,-15.364,1,0.0448,0.795,0.0,0.322,0.773,135.903,3,625019,"['adult standards', 'nashville sound', 'rockabilly']",61,14t8pLQkLLskPriG8bs96b
50,"The Theme From ""A Summer Place""",Percy Faith,The Definitive 60's (sixties),https://i.scdn.co/image/ab67616d0000b2738ac49555eaaa4a70a161e5c2,2007-12-10,142333,False,0,,0.311,0.455,0,-10.15,1,0.0311,0.27,0.919,0.47,0.845,186.162,3,34131,"['adult standards', 'easy listening', 'lounge']",43,5hznMxKe11iqwcW8BFlNWZ
51,Since I Don't Have You,The Skyliners,Since I Don't Have You - Pennies From Heaven,https://i.scdn.co/image/ab67616d0000b2737767c81684b424af9448b99e,2008-09-04,156893,False,0,,0.212,0.334,6,-12.196,1,0.0308,0.717,0.0056,0.0936,0.638,141.071,4,28245,"['brill building pop', 'doo-wop', 'rhythm and blues']",42,5zgzOyEZPoeQwmXFzW0bPn
52,Not Fade Away,Buddy Holly & The Crickets,"The ""Chirping"" Crickets",https://i.scdn.co/image/ab67616d0000b273c6c513f39a29c6958f83f8aa,1957-11-27,142773,False,48,https://p.scdn.co/mp3-preview/d2466fea0fe7af23544bdeda02e2f0b98b26ce20?cid=d3c4d26f750f45daa2434a1585745291,0.799,0.475,9,-13.142,1,0.0413,0.835,0.0,0.275,0.92,95.966,4,159868,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",46,6sBPjgvLZzHHrpxbBDjmdE
53,Tennessee Waltz,Patti Page,Rockin' Gals Of The 1950's,https://i.scdn.co/image/ab67616d0000b273bb5c07e8725d69933657263b,2011-11-08,183573,False,0,,0.468,0.171,5,-10.905,1,0.0303,0.957,3.74e-05,0.142,0.357,86.525,3,108234,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']",50,7t8Tzd9FqVz2asFMCL0HpZ
